1	1	none	0
2	2	none	0
3	3	none	0
4	4	none	0
5	5	none	0
6	6	none	0
7	7	none	0
8	8	none	0
9	9	none	0
10	10	none	0
11	11	none	0
12	12	none	0
13	13	none	0
14	14	none	0
15	15	none	0
16	16	none	0
17	17	none	0
18	18	none	0
19	19	none	0
20	20	none	0
21	21	none	0
22	22	none	0
23	1	ctcss	38
24	3	ctcss	35
25	5	ctcss	32
26	7	ctcss	29
27	15	ctcss	26
28	17	ctcss	23
29	19	ctcss	20
30	21	ctcss	17
31	2	dcs	1
32	4	dcs	4
33	6	dcs	7
34	8	dcs	10
35	10	dcs	13
36	12	dcs	16
37	14	dcs	19
38	16	dcs	22
39	18	dcs	25
40	20	dcs	28
41	22	dcs	31
42	1	ctcss	14
43	3	ctcss	11
44	5	ctcss	8
45	7	ctcss	5
46	15	ctcss	2
47	17	ctcss	37
48	19	ctcss	34
49	21	ctcss	31
50	2	dcs	2
51	4	dcs	5
52	6	dcs	8
53	8	dcs	11
54	10	dcs	14
55	12	dcs	17
56	14	dcs	20
57	16	dcs	23
58	18	dcs	26
59	20	dcs	29
60	22	dcs	32
